classs,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1,-0.33379899999999996,1.116252,9.940982,0.064599,-0.077427,-0.09590599999999999
1,-0.329013,1.103689,9.917053999999998,0.064446,-0.07910700000000001,-0.094837
1,-0.318245,1.098306,9.897911,0.063988,-0.078191,-0.09453099999999999
1,-0.318844,1.111466,9.921241,0.062155999999999996,-0.078802,-0.096059
1,-0.333201,1.1156540000000001,9.909277000000001,0.06490399999999999,-0.078649,-0.09453099999999999
1,-0.325424,1.112662,9.936794,0.063225,-0.077885,-0.094837
1,-0.31764699999999996,1.105484,9.929616000000001,0.064752,-0.080023,-0.09514199999999999
1,-0.315254,1.1072790000000001,9.947562,0.063835,-0.07559500000000001,-0.093157
1,-0.323629,1.104886,9.932008999999999,0.063835,-0.078191,-0.09453099999999999
1,-0.323031,1.11027,9.919446,0.065057,-0.078343,-0.093615
1,-0.318245,1.119841,9.91825,0.06521,-0.079871,-0.096211
1,-0.33379899999999996,1.12343,9.908679,0.06566799999999999,-0.079565,-0.094684
1,-0.330808,1.103091,9.923634,0.065515,-0.077274,-0.09514199999999999
1,-0.32243299999999997,1.108475,9.927821,0.06566799999999999,-0.078954,-0.09575299999999999
1,-0.334397,1.113859,9.90808,0.064141,-0.076664,-0.094684
1,-0.331406,1.122234,9.927222,0.063377,-0.078191,-0.09331
1,-0.329013,1.1096709999999999,9.904491,0.064752,-0.076664,-0.094684
1,-0.324826,1.106082,9.918849,0.064141,-0.081551,-0.09575299999999999
1,-0.318844,1.1066799999999999,9.905687,0.063683,-0.082314,-0.09437899999999999
1,-0.31704899999999997,1.1180459999999999,9.910474,0.064141,-0.082467,-0.09514199999999999
1,-0.32063800000000003,1.125225,9.904491,0.064141,-0.082009,-0.09498999999999999
1,-0.32004,1.11027,9.90808,0.065515,-0.074067,-0.093615
1,-0.34337,1.122832,9.936196,0.062614,-0.082467,-0.09590599999999999
1,-0.327219,1.0971090000000001,9.885348,0.065515,-0.064141,-0.094837
1,-0.319442,1.116252,9.912268,0.065363,-0.080329,-0.0956
1,-0.329013,1.113261,9.936196,0.067348,-0.073915,-0.095295
1,-0.346959,1.122234,9.933803,0.063377,-0.081245,-0.09376799999999999
1,-0.351147,1.119243,9.884152,0.065515,-0.073304,-0.0956
1,-0.34995,1.1072790000000001,9.93799,0.063377,-0.08827,-0.095295
1,-0.285344,1.080958,10.020539999999999,0.078802,0.050549000000000004,-0.212734
1,-0.27457600000000004,1.102493,9.933803,0.060323,-0.148288,-0.097433
1,-0.344566,1.1001,9.907482,0.06521,-0.073151,-0.09376799999999999
1,-0.312263,1.090529,9.902099,0.066432,-0.063988,-0.093921
1,-0.30388899999999996,1.108475,9.917652,0.065057,-0.075289,-0.09590599999999999
1,-0.293719,1.104288,9.919446,0.063988,-0.080329,-0.096059
1,-0.309871,1.100698,9.927821,0.06490399999999999,-0.073151,-0.09514199999999999
1,-0.305085,1.115055,9.945169,0.066584,-0.075289,-0.09575299999999999
1,-0.308076,1.104288,9.938589,0.064752,-0.07498400000000001,-0.09514199999999999
1,-0.27996,1.101297,9.873385,0.066126,-0.07437300000000001,-0.094684
1,-0.301496,1.107877,9.940384,0.064752,-0.077427,-0.094073
1,-0.28773699999999997,1.1180459999999999,9.911071000000002,0.064141,-0.078343,-0.09437899999999999
1,-0.297906,1.112662,9.927222,0.062766,-0.078954,-0.094226
1,-0.30089699999999997,1.1156540000000001,9.929018,0.06490399999999999,-0.077427,-0.0956
1,-0.297906,1.1072790000000001,9.924232,0.064599,-0.080023,-0.09514199999999999
1,-0.304487,1.115055,9.93799,0.063988,-0.07849600000000001,-0.09498999999999999
1,-0.299701,1.11685,9.932008999999999,0.064141,-0.079718,-0.095448
1,-0.30329,1.1072790000000001,9.934402,0.064294,-0.082161,-0.09514199999999999
1,-0.29192399999999996,1.112064,9.926026,0.063988,-0.077274,-0.094837
1,-0.297308,1.1072790000000001,9.90808,0.064141,-0.078649,-0.093921
1,-0.30628099999999997,1.110868,9.933205000000001,0.065363,-0.0759,-0.094837
1,-0.292523,1.113261,9.92184,0.065515,-0.080176,-0.09453099999999999
1,-0.30747800000000003,1.1001,9.92184,0.064446,-0.07849600000000001,-0.09575299999999999
1,-0.30089699999999997,1.1072790000000001,9.916455000000001,0.064752,-0.0759,-0.092852
1,-0.30688000000000004,1.100698,9.917652,0.06490399999999999,-0.078649,-0.096364
1,-0.311067,1.103689,9.93799,0.063225,-0.07574700000000001,-0.09712799999999999
1,-0.30688000000000004,1.112064,9.923036,0.065363,-0.078343,-0.094226
1,-0.294317,1.108475,9.933803,0.063683,-0.080787,-0.094837
1,-0.30089699999999997,1.111466,9.937392,0.06490399999999999,-0.080176,-0.094837
1,-0.299701,1.113859,9.926625,0.066126,-0.07910700000000001,-0.09437899999999999
1,-0.30209400000000003,1.120439,9.933205000000001,0.064752,-0.07758,-0.093615
1,-0.29192399999999996,1.103689,9.926625,0.064752,-0.079718,-0.093921
1,-0.301496,1.102493,9.929616000000001,0.064294,-0.07849600000000001,-0.094837
1,-0.311665,1.1066799999999999,9.942178,0.063225,-0.079718,-0.093921
1,-0.300299,1.1180459999999999,9.920643,0.06521,-0.07574700000000001,-0.09453099999999999
1,-0.289532,1.110868,9.935597,0.064141,-0.07849600000000001,-0.09437899999999999
1,-0.308674,1.095913,9.93799,0.066126,-0.081245,-0.096822
1,-0.30747800000000003,1.098904,9.934402,0.065515,-0.077885,-0.096364
